Question,Answer
How do I get a duplicate passbook?,Visit your branch and submit a request along with an indemnity bond. A small fee may be charged for issuing a duplicate passbook.
How do I add a nominee to my account?,Fill a nomination form at the bank branch or use the online nomination update facility available in net banking or the mobile app.
How can I get my bank statement?,Download it instantly from your net banking or mobile banking app. You can also request a physical statement at the branch for a fee.
How do I report fraud in my account?,"Call your bank's 24x7 helpline immediately, block your cards, and file a written complaint at the branch. Also report to cybercrime.gov.in."
How do I raise a complaint against my bank?,"First contact your bank. If not resolved in 30 days, file a complaint with the RBI Integrated Ombudsman online at cms.rbi.org.in — it's free."
What is the turnaround time for resolving a banking complaint?,"Banks must resolve complaints within 30 days. For RBI Ombudsman cases, the target resolution time is 30–45 days from receipt of complaint."
Can I open a bank account without Aadhaar?,"Yes. You can use any other valid government-issued ID like passport, voter ID, driving licence, or NREGA job card along with an address proof."
How do I apply for a debit card?,"A debit card is usually issued automatically when you open a savings account. If you haven't received one, request it at the branch or through net banking."
How do I set a PIN for my debit card?,"Use the ATM's 'Set PIN' option, or if the bank supports green PIN, follow the SMS/app-based PIN generation process."
How do I change my ATM PIN?,"Go to any ATM of your bank, select 'PIN Change', enter the old PIN, and then enter and confirm the new PIN."
What is the charge for ATM transactions beyond the free limit?,"After the free limit (5 at own bank ATMs, 3 at other banks in metro), each transaction costs ₹21 per financial transaction as per RBI mandate."
How do I register for mobile banking?,"Download your bank's official app, enter your account details, verify with an OTP on your registered mobile, and set your MPIN."
What is MPIN?,"MPIN is a 4–6 digit code you set to log in or authorize transactions in your bank's mobile app, similar to an ATM PIN."
How do I view my FD details online?,"Log in to your net banking or mobile app and go to the 'Fixed Deposits' or 'Deposits' section to see all active FDs, interest rates, and maturity dates."
Can I pay income tax through net banking?,"Yes. Log in to net banking, go to the tax payment section, fill in your details, and pay TDS or advance tax directly using your account."
How do I link Aadhaar to my bank account?,"You can link Aadhaar online via net banking, at an ATM, by SMS, or by visiting the branch with your Aadhaar. It's now voluntary but may be needed for certain benefits."
How do I open an FD online?,"Log in to mobile banking or net banking, go to 'Open FD', enter the amount, tenure, and preferred payout option, and confirm with an OTP."
What is the compensation if my money is not refunded after a failed transaction?,RBI mandates banks pay ₹100 per day as compensation if the failed transaction amount is not refunded within the specified timeline (usually 5 days).
How do I get a home loan pre-approval?,"Submit income documents, Aadhaar, PAN, employment proof, and bank statements to the bank. They assess your eligibility and issue a pre-approval letter."
How do I check my credit score for free?,"You can check your CIBIL score for free once a year at cibil.com. Many banks and apps like Paytm, BankBazaar, and CRED also offer free credit score checks."
How do I get a No Objection Certificate after loan repayment?,"After clearing your loan, request an NOC from the bank. They'll issue it within a few days, confirming the loan is closed."
What is the process for removing hypothecation from a vehicle?,"Collect the NOC from the bank, then visit the RTO with the NOC, RC, and required forms to update the Registration Certificate and remove the hypothecation entry."
How do I open a PPF account?,"Visit your bank branch or post office with an Aadhaar, PAN, and passport photo, fill the PPF account opening form, and deposit a minimum of ₹500."
How do I pay an EMI early?,"Transfer the outstanding amount to your loan account via net banking. The bank will close the loan and issue an NOC. For home loans on floating rates, no prepayment penalty applies."
How do I dispute a credit card charge?,"Log in to net banking, find the disputed transaction, and raise a dispute. The bank will investigate and initiate a chargeback if the dispute is valid."
What documents are needed for a personal loan?,"You need identity proof (Aadhaar, PAN), address proof, last 3 months' bank statements, latest salary slips, and employment proof."
How do I apply for an education loan?,"Approach the bank with your admission letter, fee structure, co-applicant details, and KYC documents. Some banks process education loans within 15 days."
What is the process for PMJDY account opening?,"Visit any bank branch with Aadhaar and a photo. If Aadhaar has your address, no other document is needed. The account is opened on the spot."
How do I report a lost or stolen credit card?,Call the bank's 24x7 helpline immediately to block the card. You can also block it instantly via the mobile app. A replacement card will be issued within 3–5 days.
How do I activate international usage on my debit card?,Log in to mobile banking and enable international usage under card settings. Some banks require calling the helpline to activate this.
How do I get my bank account number?,"Find it on your passbook, cheque book, bank statement, or by logging in to mobile banking. You can also call the helpline with your registered mobile number."
What is the time limit to claim an unclaimed FD?,"If FD proceeds are unclaimed for 10 years, the money is transferred to the RBI's Depositor Education and Awareness (DEA) Fund. You can still claim it from RBI."
How do I download my bank statement for ITR filing?,"Log in to net banking, go to account statements, select the financial year (April to March), and download as PDF. Most banks offer this for the current and previous 2 years."
How do I register for NACH / standing instructions?,"Fill a NACH mandate form with your account details, sign it, and submit to the bank or service provider (like your insurer or mutual fund)."
What is the process to upgrade my savings account?,Visit the branch or use net banking to request an upgrade to a premium account tier. You may need to maintain a higher balance or pay a fee.
How do I activate e-statement instead of physical statement?,Log in to net banking and go to account preferences. Select 'e-statement' and provide your email address. Physical statements will stop and digital ones will be sent monthly.
How do I get a duplicate FD receipt?,Submit a request at your branch with an indemnity bond. The bank will issue a duplicate FD receipt after verification.
How do I set a UPI transaction limit?,UPI transaction limits are set by RBI and your bank. Individual transaction limits can be adjusted within the RBI maximum in your UPI app settings.
How do I enable net banking?,"Visit your bank's website, register using your account number and debit card details, verify with an OTP, and create a login ID and password."
Can I reopen a closed bank account?,"Generally, a closed account cannot be reopened. You would need to open a fresh account. Some banks may allow reinstatement within a short window after closure."
How do I transfer my home loan to another bank?,"Apply to the new bank with existing loan statements, property papers, and KYC documents. On approval, the new bank repays the old bank and takes over the loan."
What should I do if I receive an unknown credit in my account?,Do not spend the money. Inform your bank immediately. It may be a wrong credit by another customer and the bank will reverse it.
How do I apply for a credit card?,"Apply on the bank's website, through the mobile app, or at the branch. You'll need income proof, PAN, and Aadhaar. Approval depends on income and credit score."
What is the minimum age to get a credit card?,You must be at least 18 years old to get a primary credit card. Some banks require a minimum age of 21.
How do I increase my credit card limit?,"Request a limit increase through net banking, mobile app, or by calling the helpline. The bank reviews your income and repayment history before approving."
How do I avoid credit card interest charges?,Pay the full outstanding bill amount by the due date every month. Paying only the minimum amount will attract interest on the remaining balance.
What is the process for a credit card dispute?,"Log in to net banking, raise a transaction dispute, or call the helpline. The bank investigates and initiates a chargeback to the merchant if the dispute is valid."
How do I cancel a standing instruction?,Log in to net banking and go to 'Manage Mandates' or call the helpline to cancel the standing instruction before the next debit date.
How do I check my loan outstanding balance?,"Log in to mobile banking or net banking and go to the loans section. You'll see outstanding principal, upcoming EMI, and the full repayment schedule."
What is the process to get a home loan top-up?,"Apply to your bank with latest salary slips, property documents, and existing loan statements. Approval depends on your repayment history and current LTV ratio."
How do I get CIBIL report with details?,"Visit cibil.com, register, and pay a fee for a full report. Your bank may also provide it through their app. It shows all loans, repayment history, and hard enquiries."
How do I add a joint holder to my bank account?,Visit the branch with the new joint holder and their KYC documents. Fill a joint account addition form and specify the mode of operation.
How do I change nominee in a bank account?,"Fill a nomination change form at the branch or through the online banking portal, providing the new nominee's name, relationship, and date of birth."
What documents are needed for KYC update?,"Aadhaar card, PAN card, and proof of current address (utility bill, rental agreement). For businesses, a company registration certificate is also needed."
How do I request for duplicate PAN card?,Apply on the NSDL or UTIITSL website with your Aadhaar details and a small fee. The duplicate card is delivered by post within 15 business days.
How do I link PAN to my bank account?,Visit your branch or use net banking. Submit a PAN linking request. PAN linking with bank accounts is needed for TDS computation and financial reporting.
What is the process for PMJJBY insurance renewal?,Your PMJJBY premium (₹436/year) is auto-debited from your savings account on the renewal date. Ensure sufficient balance before May 31 each year.
What is the process to get credit card physical form delivered?,"After credit card approval, the card is sent to your registered mailing address within 5–7 business days. Track dispatch status through the bank's app."
How do I convert a debit card purchase to EMI?,"Call the bank helpline within the specified days of purchase or use the mobile app. Select the transaction, choose EMI tenure, and confirm. A small processing fee applies."
How do I set up auto pay for credit card?,"Register for NACH mandate with your bank, linking your savings account to auto-debit the minimum due or full outstanding amount on the credit card due date."
How do I get a loan repayment certificate for IT purposes?,Request a provisional or final interest certificate from the bank's branch or net banking portal. It shows total interest paid in the financial year for tax filing.
What is the process for an e-mandate cancellation?,"Log in to net banking, go to 'Mandates / AutoPay', select the active mandate, and click cancel. Some mandates may also be cancelled through the company's portal."
How do I set up alerts for low balance?,"Log in to net banking or the mobile app, go to alert settings, and enable low balance alerts. Enter the threshold amount below which you want to be notified."
How do I update my email ID in the bank?,Visit the branch or use net banking account settings to update your email. An OTP will be sent to your registered mobile for verification.
How do I get a no-dues certificate from the bank?,"Once you repay a loan fully, request a no-dues or loan closure certificate from the bank. It's usually issued within 3–5 working days after all dues are cleared."
How do I check if my FD is auto-renewed?,Log in to mobile or net banking and check the FD details page. The renewal date and status will show if it has been auto-renewed and at what rate.
How do I get a copy of my sanction letter for a loan?,Log in to net banking or visit the branch to request a copy of your loan sanction letter. It's useful for tax filing and verifying loan terms.
How do I avoid SIM swap fraud?,"Never share your mobile number or Aadhaar with strangers. If your SIM stops working suddenly, immediately call your telecom provider and bank to block access."
How do I opt out of telemarketing calls from my bank?,Register your number on the DND (Do Not Disturb) registry by calling 1909 or through TRAI's website. You can also ask your bank to remove you from marketing lists.
What is life insurance?,Life insurance pays a lump sum to your family if you pass away during the policy term. It financially protects your dependents.
What is term insurance?,Term insurance is the purest form of life insurance. It covers death risk at a low premium with no maturity benefit if you survive.
What is endowment insurance?,"Endowment insurance combines life cover with savings. It pays out on death or on maturity of the policy, whichever comes first."
What is whole life insurance?,Whole life insurance covers you for your entire life (or up to age 99–100). It builds cash value over time that you can borrow against.
What is ULIP?,"Unit Linked Insurance Plan (ULIP) combines insurance with market-linked investment. Part of your premium goes into funds (equity, debt, hybrid)."
What is a health insurance deductible?,A deductible is the amount you must pay out of pocket before your health insurance starts covering the medical bill.
What is a cashless hospitalization?,"With cashless hospitalization, your insurer directly settles the bill with the hospital (from a network list), so you don't need to pay and claim later."
What is a health insurance co-payment?,"Co-payment is a fixed percentage of the medical bill you pay yourself, while the insurer pays the rest. For example, 10% co-pay on a ₹1 lakh bill means you pay ₹10,000."
What is a waiting period in health insurance?,"A waiting period is a time after purchasing the policy during which certain conditions (pre-existing diseases, maternity) are not covered."
What is a pre-existing disease clause?,Pre-existing diseases (conditions you had before buying the policy) are usually not covered for 2–4 years after purchasing health insurance.
What is a sum insured in insurance?,Sum insured is the maximum amount your insurer will pay in a year for your health or the lump sum paid in life insurance on death/maturity.
What is a premium in insurance?,"A premium is the regular amount you pay (monthly, quarterly, or annually) to keep your insurance policy active."
What is a claim in insurance?,A claim is when you formally ask the insurance company to pay you for a loss covered under your policy — like a medical bill or life insurance payout.
What is a maturity benefit in insurance?,Maturity benefit is the amount paid to you at the end of the insurance policy term if you're still alive. Applicable in endowment and ULIP plans.
What is a death benefit in insurance?,Death benefit is the amount paid to your nominee when you die during the active policy period.
What is an annuity plan?,"An annuity plan is an insurance product that provides a regular income — monthly, quarterly, or annually — typically used for retirement planning."
What is the PMJJBY scheme?,Pradhan Mantri Jeevan Jyoti Bima Yojana gives ₹2 lakh life cover for an annual premium of ₹436. Your bank auto-debits the premium from your account.
What is the PMSBY scheme?,"Pradhan Mantri Suraksha Bima Yojana offers ₹2 lakh accidental death and disability cover for just ₹20 per year, auto-debited from your savings account."
What is Ayushman Bharat Yojana?,"Ayushman Bharat provides health cover of ₹5 lakh per family per year to economically vulnerable households for secondary and tertiary hospitalization, completely free."
What is ESIC?,"ESIC (Employees' State Insurance Corporation) provides health, maternity, and accident insurance to employees earning up to ₹21,000/month. Premium is shared by employer and employee."
What is EPF?,"Employee Provident Fund is a retirement savings scheme where both employee and employer contribute 12% of basic salary. Interest is 8.15% p.a., tax-free on maturity."
What is EPS?,"Employee Pension Scheme is part of the EPF. 8.33% of the employer's share goes into EPS, providing a monthly pension after retirement."
What is NPS?,"National Pension System is a voluntary retirement savings scheme regulated by PFRDA. Contributions earn market-linked returns, and part of the corpus buys an annuity at retirement."
What is the APY scheme?,"Atal Pension Yojana guarantees a monthly pension of ₹1,000–₹5,000 after age 60 for workers in the unorganized sector, with contributions starting from as low as ₹42/month."
What is the Sukanya Samriddhi Yojana?,SSY is a savings scheme for the girl child offering ~8.2% interest. It matures when the girl turns 21 and contributions qualify for 80C deduction.
What is the Senior Citizen Savings Scheme?,SCSS offers a 5-year savings option for those above 60 with the highest interest rate among post office/bank schemes (currently 8.2%). Qualifies for 80C deduction.
What is the post office savings scheme?,"Post offices offer savings products like savings accounts, RD, TD (fixed deposit), MIS, NSC, KVP, SCSS, PPF, and Sukanya Samriddhi under Government Small Savings Schemes."
What is the National Savings Certificate?,NSC is a 5-year government savings bond issued by post offices offering ~7.7% annual interest. It qualifies for Section 80C deduction and interest is reinvested.
What is Kisan Vikas Patra?,KVP is a post office savings certificate where your money doubles in a fixed period (currently ~115 months). No income tax benefit but a safe government-backed option.
What is the Post Office Monthly Income Scheme?,POMIS is a 5-year scheme where you deposit a lump sum and receive fixed monthly interest. Safe for retirees needing regular income — currently offering 7.4% p.a.
What is Rashtriya Vayoshri Yojana?,"RVY is a government scheme providing senior citizens from the BPL category with free assistive devices like hearing aids, wheelchairs, and spectacles."
What is PM Vaya Vandana Yojana?,"PMVVY is a pension scheme from LIC of India for senior citizens above 60, offering assured returns of 7.4% p.a. for 10 years, paid as monthly, quarterly, or annual pension."
What is the Stand-Up India scheme?,"Stand-Up India provides loans from ₹10 lakh to ₹1 crore to SC/ST and women entrepreneurs to set up greenfield enterprises, with bank branches covering at least one such borrower each."
What is PM SVANidhi?,"PM SVANidhi is a micro-credit scheme for street vendors offering ₹10,000 initial loans, growing to ₹20,000 and ₹50,000 on timely repayment, with a 7% interest subsidy."
What is the Credit Guarantee Fund Trust for Micro & Small Enterprises?,"CGTMSE provides collateral-free credit guarantee coverage to banks lending to MSMEs, encouraging banks to lend without security to small businesses."
What is the MUDRA Bank?,MUDRA (Micro Units Development and Refinance Agency) refinances banks and MFIs to provide loans to micro-enterprises. It doesn't lend directly but sets policy for MUDRA loans.
What is the Jan Suraksha Scheme?,"Jan Suraksha comprises PMJJBY (life cover), PMSBY (accident cover), and APY (pension), providing low-cost social security to millions of unorganized sector workers."
What is Pradhan Mantri Awas Yojana?,PMAY provides interest subsidies on home loans to make housing affordable. EWS (income below ₹3L) gets 6.5% subsidy; LIG (₹3–6L) 6.5%; MIG I/II get lower subsidies.
What is DICGC insurance?,"DICGC insures bank deposits up to ₹5 lakh per depositor per bank. If the bank fails, you are guaranteed to get back up to ₹5 lakh from DICGC."
What is a general insurance policy?,"General insurance covers non-life assets and health — like car insurance, home insurance, health insurance, and travel insurance. It typically renews every year."
What is a third-party motor insurance?,Third-party insurance is mandatory for all vehicles in India. It covers damage or injury caused to another person or vehicle in an accident involving your vehicle.
What is comprehensive vehicle insurance?,"Comprehensive insurance covers damage to your own vehicle in addition to third-party liability — from accidents, theft, fire, flood, and natural disasters."
What is IDV in vehicle insurance?,IDV is Insured Declared Value — the maximum amount the insurer will pay if your vehicle is stolen or totally damaged. It reduces each year as the vehicle ages.
What is a no-claim bonus in vehicle insurance?,"If you don't make any claim in a year, you get a no-claim bonus — a discount of 20–50% on the premium for the next year."
What is travel insurance?,"Travel insurance covers you during a trip for medical emergencies, trip cancellation, lost luggage, flight delays, and passport loss."
What is fire insurance?,"Fire insurance covers damage to property and assets from fire, lightning, explosion, and related perils. Required for commercial properties and often recommended for homes."
What is marine insurance?,"Marine insurance covers goods in transit — by sea, air, or land. It protects merchants and exporters from losses due to cargo damage or delay."
What is crop insurance?,"Pradhan Mantri Fasal Bima Yojana (PMFBY) provides insurance coverage to farmers against crop losses due to natural calamities, pests, and diseases at low premiums."
What is a microinsurance plan?,"Microinsurance provides small, low-cost coverage to low-income individuals for health, life, or assets. It's designed to be simple and affordable for rural and informal workers."
What is the IRDAI?,IRDAI is the Insurance Regulatory and Development Authority of India. It licenses and regulates all insurance companies and protects policyholders in India.
What is a policy surrender value?,"Surrender value is the amount you receive if you cancel your life insurance policy before maturity. It's less than the premiums paid, especially if surrendered early."
What is a paid-up policy?,A paid-up policy is one where you stop paying premiums but retain a reduced sum assured. The policy continues with a lower benefit.
What is a lapsed insurance policy?,A policy lapses when you miss premium payments beyond the grace period. Coverage stops. You may revive it within 2–5 years by paying arrears with interest.
What is policy revival?,"A lapsed policy can be revived by paying all overdue premiums plus interest and sometimes passing a medical examination, within the revival period of 2–5 years."
What is a free-look period in insurance?,"Free-look period is a 15–30 day window after receiving your policy document. If you're unhappy, you can return it and get a full premium refund."
What is a rider in insurance?,"A rider is an add-on benefit attached to your base insurance policy — like critical illness rider, accidental disability rider, or waiver of premium rider."
What is critical illness insurance?,"Critical illness insurance pays a lump sum on diagnosis of specified illnesses like cancer, heart attack, stroke, or kidney failure, regardless of actual medical expenses."
What is a hospital daily cash policy?,"A hospital daily cash plan pays a fixed daily allowance (₹500–₹2,000) for each day you're hospitalized, to cover incidental costs not covered by regular health insurance."
What is group insurance?,Group insurance is a single policy covering a group of people — like company employees or bank account holders under PMJJBY. It's cheaper than individual policies.
What is an insurance agent?,An insurance agent is licensed by IRDAI to sell insurance products on behalf of one insurer. A broker can sell products of multiple insurers and offers comparison services.
What is the claims settlement ratio of an insurer?,Claims settlement ratio is the percentage of total claims settled by an insurer in a year. A higher ratio (above 95%) indicates a reliable insurer.
What is the National Health Mission?,"NHM is a government program providing affordable healthcare services, especially maternal and child health, to underserved populations in urban and rural India."
What is the Central Government Health Scheme?,"CGHS provides comprehensive health facilities to Central Government employees, pensioners, and their families through dispensaries and empanelled hospitals."
What is a gratuity?,Gratuity is a one-time payment given by an employer to an employee on retirement or resignation after 5 or more years of service. Calculated as 15 days' salary per year of service.
What is a provident fund?,A provident fund is a retirement savings account where both employee and employer contribute a percentage of salary each month. It earns guaranteed interest and is tax-free at maturity.
What is VPF?,"Voluntary Provident Fund allows employees to contribute more than the mandatory 12% of salary to their EPF account, earning the same 8.15% interest rate."
What is the Gratuity Act?,The Payment of Gratuity Act mandates that employers pay gratuity to employees who have completed at least 5 years of service on retirement or resignation.
What is ESOP?,"Employee Stock Option Plan gives employees the right to buy company shares at a set price after a vesting period, allowing them to benefit from company growth."
What is the Employees Deposit Linked Insurance Scheme?,"EDLI provides life insurance to EPF members. If an EPF member dies during service, the family receives up to ₹7 lakh as insurance benefit, funded by the employer's contribution."
What is a home loan insurance?,"Home loan insurance (mortgage reducing term assurance) is a decreasing term life insurance plan that covers your outstanding home loan. If you die, the insurer repays the bank."
What is a credit card insurance?,"Credit card insurance covers outstanding credit card dues in case of death, permanent disability, or job loss, protecting your family from the burden of repayment."
What is personal accident insurance?,"Personal accident insurance provides compensation for accidental death, permanent disability, or hospitalization due to an accident. Separate from regular health insurance."
What is an annuity in insurance?,"An annuity is a stream of regular payments from an insurer, typically for life or a set term, used to provide post-retirement income. You deposit a lump sum upfront."
What is the Jeevan Jyoti scheme premium?,"PMJJBY's current annual premium is ₹436, auto-debited from your savings account between June 1 and May 31 each year for ₹2 lakh life cover."
What is the role of insurance in banking?,Banks sell insurance products (bancassurance) as a distribution channel. Insurance also protects bank assets — loans are covered by collateral insurance and life insurance.
What is bancassurance?,"Bancassurance is the partnership between a bank and an insurance company where the bank sells insurance products (life, health, general) to its customers through its branches and digital channels."
What is a pension plan in insurance?,"A pension plan helps you accumulate a retirement corpus by paying regular premiums. On retirement, the corpus is converted to a monthly annuity income for the rest of your life."
What is PM Kisan?,"PM-KISAN provides ₹6,000 per year in three instalments of ₹2,000 directly to small and marginal farmers (below 2 hectares of land). The amount goes directly to their bank account."
What is the Direct Benefit Transfer scheme?,"DBT directly transfers government subsidies — LPG, scholarships, MNREGA wages, PM-KISAN — to the beneficiary's bank account, eliminating middlemen and reducing leakage."
What is the Jan Aushadhi scheme?,Pradhan Mantri Bharatiya Janaushadhi Pariyojana provides quality generic medicines at up to 50–90% lower prices through Jan Aushadhi Kendras across India.
What is international banking?,"International banking provides financial services across borders — foreign currency accounts, international money transfers, trade finance, and forex services."
What is a SWIFT transfer?,SWIFT transfer is the standard way to send money internationally. It uses SWIFT codes to route the payment through correspondent banks to the destination.
What is forex?,"Forex is the foreign exchange market where currencies are bought and sold. Exchange rates fluctuate based on demand and supply, economic data, and geopolitical events."
What is an exchange rate?,An exchange rate is the price of one currency in terms of another — like ₹84 for 1 USD. It changes throughout the day based on market forces.
What is currency conversion?,"Currency conversion is the process of exchanging one currency for another at the current exchange rate, done at banks, forex agencies, or ATMs abroad."
What is a forex card?,A forex card (travel card) is a prepaid card loaded with foreign currency at a locked-in exchange rate. It's cheaper than using a regular debit card abroad.
What is the TCS on forex transactions?,"From July 2023, a 20% Tax Collected at Source (TCS) applies on remittances abroad above ₹7 lakh per year under the Liberalised Remittance Scheme, excluding education and medical."
What is the Liberalised Remittance Scheme?,"LRS allows resident Indians to remit up to USD 2,50,000 per financial year abroad for permitted purposes like education, travel, investment, and maintenance of relatives."
What is a remittance?,"A remittance is money transferred by an NRI to their family in India. India is the world's top remittance receiver, with NRIs sending billions annually."
What is FEMA in banking?,"FEMA (Foreign Exchange Management Act) governs all cross-border transactions, NRI accounts, imports, exports, and foreign investments in India."
What is a correspondent bank?,"A correspondent bank in one country provides banking services on behalf of another bank in a different country, facilitating international payments and currency exchange."
What is IBAN?,"IBAN (International Bank Account Number) is a standard account number format used in Europe and many countries for cross-border transfers, containing country code, check digits, and account details."
What is the difference between NRE and NRO accounts?,"NRE holds foreign earnings in INR, interest is tax-free, and funds are fully repatriable. NRO holds India-earned income, interest is taxable, and repatriation has limits."
What is FCNR deposit?,"FCNR lets NRIs keep deposits in foreign currency (USD, GBP, EUR, CAD, etc.) in Indian banks, earning interest in the same foreign currency without any exchange rate risk."
What is wire transfer?,A wire transfer is an electronic funds transfer between banks in different countries using the SWIFT network. It's secure but takes 1–5 working days and charges fees.
What is cross-currency transaction fee?,"When you use a card abroad or make an international payment in a foreign currency, the bank charges a cross-currency markup — usually 2–4% above the exchange rate."
What is a foreign currency account?,A foreign currency account holds money in currencies other than the home currency — like a USD account in an Indian bank — used for international trade or travel.
What is a nostro account?,A nostro account is a bank account held by an Indian bank in a foreign country in a foreign currency — used to facilitate international payments.
What is a vostro account?,"A vostro account is a foreign bank's account held in an Indian bank in Indian rupees, used for trade settlements and international payments."
What is a loro account?,"A loro account is a third-party perspective — when Bank A refers to the account that Bank B holds at Bank C, it calls it a loro account."
What is a trade finance letter of credit?,A letter of credit in trade finance is a bank guarantee to the exporter that payment will be made when shipment documents confirming delivery are presented.
What is a bank draft for international transfer?,An international bank draft is a bank-issued cheque in foreign currency payable at a specified foreign bank. Used for large one-time payments abroad.
What is a forex trading account?,A forex trading account with a broker allows you to buy and sell currency pairs to profit from exchange rate movements. High risk; not for average savers.
What is currency hedging?,Currency hedging means locking in an exchange rate using forward contracts or options to protect against unfavourable currency movements in international trade.
What is a forward contract in forex?,"A forward contract is an agreement to exchange currency at a fixed rate on a future date, protecting businesses from exchange rate risk on future transactions."
What is the RBI's role in forex?,"RBI manages India's forex reserves, intervenes in the market to prevent extreme rupee volatility, and sets rules for all cross-border transactions under FEMA."
What is the India-Russia Rupee Trade settlement?,"India and Russia (and some other countries) have bilateral agreements to settle trade in Indian rupees or their own currencies, reducing dependence on the US dollar."
What is a packing credit loan?,Packing credit is a pre-shipment loan given to exporters by banks to buy raw material and produce goods before shipping. Repaid when payment from foreign buyer is received.
What is an export credit guarantee?,Export Credit Guarantee Corporation (ECGC) provides insurance to Indian exporters against the risk of non-payment by foreign buyers.
What is a documentary collection?,"Documentary collection is a trade payment method where the exporter's bank forwards shipping documents to the importer's bank, releasing them only when the buyer pays or commits to pay."
What is an LC at sight?,"A sight LC requires the importer's bank to pay immediately when the exporter presents the correct shipping documents, with no credit period."
What is a usance LC?,"A usance (deferred payment) LC allows the importer to pay after a set period (30, 60, or 90 days) after shipment documents are presented."
What is a bank guarantee in international trade?,"A bank guarantee assures the overseas buyer or seller that if the Indian party fails to meet its contractual commitment, the bank will pay the guaranteed amount."
What is foreign currency non-repatriable (FCNR) vs NRE?,"FCNR deposits are in foreign currency, protecting against exchange risk. NRE deposits are in rupees, so exchange rate applies on deposit and withdrawal."
What is the impact of RBI intervention in forex market?,RBI buys or sells dollars to manage extreme rupee volatility. Buying dollars weakens the rupee; selling dollars strengthens it.
What is hawala?,"Hawala is an informal, illegal money transfer system operating outside the formal banking system. It's banned in India as it facilitates money laundering and tax evasion."
What is money laundering?,"Money laundering is the process of disguising illegally obtained funds as legitimate income, often involving multiple bank transactions across countries."
What is a sanctions screening in banking?,"Banks screen transactions and customers against government and global sanction lists (OFAC, UN) to prevent financial dealings with sanctioned individuals or countries."
What is de-dollarization?,"De-dollarization is the effort by countries to reduce dependence on the US dollar for trade, reserves, and financial transactions, using local or alternative currencies instead."
What is a digital currency for international payments?,"Central banks are exploring CBDCs for cross-border transactions that could be faster and cheaper than SWIFT, reducing reliance on correspondent banking."
What is a currency peg?,A currency peg is when a country fixes its exchange rate to a major currency like the US dollar. It provides stability but limits monetary policy flexibility.
What is the special drawing right (SDR)?,"SDR is an international reserve asset created by the IMF. Its value is based on a basket of major currencies (USD, EUR, CNY, JPY, GBP). India holds SDRs as part of forex reserves."
What is the International Monetary Fund?,"The IMF is an international organization that provides financial assistance and policy advice to countries facing balance of payments crises, promoting global economic stability."
What is the World Bank?,"The World Bank provides loans and grants to developing countries for development projects — infrastructure, education, health — to reduce poverty."
What is ADB?,"Asian Development Bank (ADB) provides loans, grants, and technical assistance to Asian countries, focusing on infrastructure, energy, and sustainable development."
What is the BIS?,Bank for International Settlements (BIS) is a global institution owned by central banks that promotes international monetary cooperation and acts as a bank for central banks.
What is G20 and its banking relevance?,"G20 is a forum of the world's 20 largest economies. It discusses financial regulation, tax policy, global banking rules (Basel), and economic coordination between nations."
What is a bilateral currency swap?,A bilateral currency swap is an agreement between two central banks to exchange currencies up to a set limit to support each other during liquidity crises without needing US dollars.
What is a euro bond?,A eurobond is a bond issued by a company or government in a currency different from the country where it's issued — like an Indian company issuing USD bonds in London.
What is a masala bond?,"A masala bond is a rupee-denominated bond issued by an Indian entity in overseas markets. Foreign investors take the currency risk, and India gets foreign funds in rupees."
What is an offshore banking unit?,OBU is a special bank branch in India's special economic zones (SEZs) that can conduct banking transactions in foreign currencies with non-resident entities.
What is a free trade zone banking?,Banks in free trade zones or SEZs operate under relaxed regulations to attract foreign business and facilitate international trade finance.
What is the rupee trade settlement mechanism?,"India allows bilateral trade settlement in rupees with several countries. The exporter/importer gets paid in rupees instead of converting to dollars, simplifying trade."
What is a country risk in banking?,"Country risk is the risk that a foreign country may default, impose capital controls, or face instability, making it difficult for borrowers to repay international loans."
What is a sovereign risk?,Sovereign risk is the risk that a government will default on its own debt or be unable to honour guarantees given to foreign lenders.
What is foreign debt?,Foreign debt is money borrowed by a government or company from international lenders in foreign currencies. Repayment becomes more expensive if the local currency weakens.
What is external commercial borrowing?,ECB is money borrowed by Indian companies from foreign lenders in foreign currency. It's cheaper than domestic borrowing but carries forex risk. Regulated by RBI.
What is a foreign exchange derivative?,"Forex derivatives (options, futures, swaps) are contracts used to hedge against or speculate on future currency movements."
What is arbitrage in forex?,Forex arbitrage is simultaneously buying and selling currency pairs across markets to profit from tiny price differences. High-frequency computers mostly do this today.
What is carry trade?,"Carry trade is borrowing in a low-interest-rate currency and investing in a higher-interest-rate currency. Profitable in stable conditions, but risky if exchange rates move."
What is the purchasing power of the rupee abroad?,The purchasing power of the rupee abroad depends on the exchange rate. A weaker rupee means your money buys less in foreign currency terms.
What is a currency war?,"A currency war is when countries deliberately devalue their currencies to make exports cheaper, boosting trade at the expense of trading partners."
What is dollarization?,"Dollarization is when a country officially or unofficially uses the US dollar as its currency instead of its own, often when local currency is too unstable."
What is cross-border capital flow?,"Cross-border capital flows are investments and loans moving between countries — FDI, FPI, ECBs, and remittances. RBI monitors these under FEMA."
What is the impact of a strong dollar on India?,"A strong dollar makes the rupee weaker, increasing the cost of imports (especially oil), raising inflation, but also benefiting IT and export companies that earn in dollars."
